"","X.1","Ensayo","Estimulo","Respuesta","Correcto","Aciertos","Errores","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","Confidence","RTime1","RTime1b","RTime2","Color","X","facilidad","senal","tipo","choice","outcome","Exito","HR6","FR6","HR5","FR5","HR4","FR4","HR3","FR3","HR2","FR2","HR1","FR1"
"217",217,216,501,"n","True",130,87,"False",66,"True",64,"False",41,"False",46,1,1.84734201431,0.346286058426,0.300961017609,"Naranja",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"218",218,217,579,"s","False",130,88,"False",66,"False",64,"True",42,"False",46,6,2.04852199554,0.54815196991,0.401022911072,"Verde",NA,"muchos","ruido","2 BN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"219",219,218,26,"s","True",131,88,"True",67,"False",64,"False",42,"False",46,5,2.95581889153,1.45522499084,0.401561021805,"Azul",NA,"pocos","senal","4 AS",1,4,1,"0","0","1","0","1","0","1","0","1","0","1","0"
"220",220,219,391,"s","True",132,88,"True",68,"False",64,"False",42,"False",46,6,1.65059900284,0.150022983551,0.300899982452,"Naranja",NA,"muchos","senal","3 BS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"221",221,220,31,"s","True",133,88,"True",69,"False",64,"False",42,"False",46,5,2.25341486931,0.752283811569,0.701808929443,"Verde",NA,"pocos","senal","4 AS",1,4,1,"0","0","1","0","1","0","1","0","1","0","1","0"
"222",222,221,79,"s","True",134,88,"True",70,"False",64,"False",42,"False",46,6,1.84699082375,0.346296787262,0.902052879333,"Verde",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"223",223,222,194,"s","False",134,89,"False",70,"False",64,"True",43,"False",46,6,1.65215396881,0.151036024094,0.701825857162,"Verde",NA,"pocos","ruido","1 AN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"224",224,223,86,"n","False",134,90,"False",70,"False",64,"False",43,"True",47,2,1.64020705223,0.139014959335,1.10283899307,"Purpura",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"225",225,224,586,"s","False",134,91,"False",70,"False",64,"True",44,"False",47,6,2.14847707748,0.647666931152,0.601982831955,"Purpura",NA,"muchos","ruido","2 BN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"226",226,225,224,"n","True",135,91,"False",70,"True",65,"False",44,"False",47,1,1.65152192116,0.150302886963,0.100372076035,"Purpura",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
