"","X.5","X.4","X.3","X.2","X.1","Ensayo","Estimulo","Comparacion","SignallPosition","Respuesta","Eleccion","OpcionPredicha","RTime1","RTime2","Color","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","X","SignalPosition","SignalPos"
"105",105,105,105,105,105,104,156,"4 BS-AN","Right","right","BS",1,1.53257703781,0.531495809555,"Azul",1,50,1,50,0,19,0,19,NA,"Left","Left"
"106",106,106,106,106,106,105,102,"2 AS-BN","Left","left","AS",1,1.43516302109,0.434587955475,"Naranja",1,51,1,51,0,19,0,19,NA,"Left","Left"
"107",107,107,107,107,107,106,55,"3 BS-BN","Left","right","BN",0,1.53601503372,0.535748958588,"Verde",0,51,0,51,1,20,1,20,NA,"Right","Right"
"108",108,108,108,108,108,107,112,"2 AS-BN","Right","right","AS",1,1.83607602119,0.835505008698,"Naranja",1,52,1,52,0,20,0,20,NA,"Right","Right"
"109",109,109,109,109,109,108,153,"4 BS-AN","Left","left","BS",1,1.93236207962,0.931445121765,"Naranja",1,53,1,53,0,20,0,20,NA,"Left","Left"
"110",110,110,110,110,110,109,189,"4 BS-AN","Left","right","AN",0,1.93666601181,0.936131000519,"Purpura",0,53,0,53,1,21,1,21,NA,"Left","Left"
"111",111,111,111,111,111,110,161,"4 BS-AN","Left","left","BS",1,1.93691682816,0.935850143433,"Verde",1,54,1,54,0,21,0,21,NA,"Right","Right"
"112",112,112,112,112,112,111,72,"3 BS-BN","Right","right","BS",1,1.53551411629,0.534408092499,"Naranja",1,55,1,55,0,21,0,21,NA,"Right","Right"
"113",113,113,113,113,113,112,251,"6 AN-BN","None","right","BN",1,2.63803887367,1.63694310188,"Purpura",NA,55,NA,55,NA,21,NA,21,NA,"Left","Left"
"114",114,114,114,114,114,113,250,"6 AN-BN","None","left","BN",1,2.23711395264,1.23669099808,"Naranja",NA,55,NA,55,NA,21,NA,21,NA,"Left","Left"
"115",115,115,115,115,115,114,282,"6 AN-BN","None","left","BN",1,2.43760609627,1.43731498718,"Purpura",NA,55,NA,55,NA,21,NA,21,NA,"Right","Right"
"116",116,116,116,116,116,115,233,"5 AS-BS","Both","left","AS",1,1.73603892326,0.734969139099,"Azul",NA,55,NA,55,NA,21,NA,21,NA,"Right","Right"
"117",117,117,117,117,117,116,120,"2 AS-BN","Right","right","AS",1,1.83616709709,0.835767030716,"Verde",1,56,1,56,0,21,0,21,NA,"Left","Left"
