Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,Color,X,facilidad,senal,tipo,choice,outcome,Exito,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
162,419,s,True,119,44,True,81,False,38,False,42,False,2,5,3.455341101,1.954646111,0.300909996,Naranja,NA,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
163,91,s,True,120,44,True,82,False,38,False,42,False,2,6,3.055060148,1.553949118,0.802270889,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
164,336,s,True,121,44,True,83,False,38,False,42,False,2,6,2.448907137,0.947767973,0.501338005,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
165,510,s,False,121,45,False,83,False,38,True,43,False,2,6,2.754507065,1.253413916,0.501156092,Azul,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
166,391,s,True,122,45,True,84,False,38,False,43,False,2,6,2.452672958,0.95185709,0.300855875,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
167,7,s,True,123,45,True,85,False,38,False,43,False,2,6,1.852005959,0.351890802,0.401334047,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
168,578,s,False,123,46,False,85,False,38,True,44,False,2,6,1.952271938,0.451164007,0.401026011,Naranja,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
169,207,n,True,124,46,False,85,True,39,False,44,False,2,1,2.648658037,1.147491932,0.501212835,Verde,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
171,572,s,False,125,47,False,85,False,40,True,45,False,2,6,2.15224719,0.651391983,0.501315832,Naranja,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
172,576,n,True,126,47,False,85,True,41,False,45,False,2,1,2.651895046,1.151343107,0.501386166,Verde,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
173,164,s,False,126,48,False,85,False,41,True,46,False,2,6,2.85452199,1.353461981,0.501382828,Azul,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
174,365,s,True,127,48,True,86,False,41,False,46,False,2,5,2.951632023,1.450495005,1.303476095,Azul,NA,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
175,421,s,True,128,48,True,87,False,41,False,46,False,2,6,2.751976013,1.25127697,0.802232027,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
176,135,s,True,129,48,True,88,False,41,False,46,False,2,4,2.552846193,1.051771164,0.601644993,Azul,NA,pocos,senal,4 AS,1,4,1,0,0,0,0,1,0,1,0,1,0,1,0
177,464,s,True,130,48,True,89,False,41,False,46,False,2,6,2.64931798,1.148140907,1.403732061,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
178,443,s,True,131,48,True,90,False,41,False,46,False,2,6,2.449059963,0.947844982,0.501361132,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
179,544,s,False,131,49,False,90,False,41,True,47,False,2,5,2.753761053,1.253095865,2.405869007,Verde,NA,muchos,ruido,2 BN,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
180,455,s,True,132,49,True,91,False,41,False,47,False,2,6,2.95449996,1.453742981,0.401149035,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
182,536,n,True,133,50,False,91,True,42,False,48,False,2,1,2.949942112,1.448833227,0.501277924,Azul,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
183,168,s,False,133,51,False,91,False,42,True,49,False,2,6,2.854470015,1.354238033,0.601342916,Naranja,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
184,40,s,True,134,51,True,92,False,42,False,49,False,2,6,2.253684998,0.753260851,0.401171923,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
185,139,s,True,135,51,True,93,False,42,False,49,False,2,6,2.052428961,0.55133605,0.401097059,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
186,239,n,True,136,51,False,93,True,43,False,49,False,2,1,3.050726891,1.549496174,0.601593971,Verde,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
187,569,s,False,136,52,False,93,False,43,True,50,False,2,6,2.25282979,0.751731873,0.401104927,Verde,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
188,362,n,False,136,53,False,93,False,43,False,50,True,3,2,3.150084019,1.648977041,0.802103043,Azul,NA,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
189,192,s,False,136,54,False,93,False,43,True,51,False,3,6,2.854916096,1.353806019,0.802006006,Purpura,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
190,145,s,True,137,54,True,94,False,43,False,51,False,3,6,2.053760052,0.552680969,0.701804161,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
192,186,s,False,138,55,False,94,False,44,True,52,False,3,6,2.954899073,1.453828096,0.501559019,Azul,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
193,72,s,True,139,55,True,95,False,44,False,52,False,3,6,2.052597046,0.551531076,0.401161909,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
194,568,s,False,139,56,False,95,False,44,True,53,False,3,6,2.548907995,1.047708988,0.401135921,Azul,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
195,46,s,True,140,56,True,96,False,44,False,53,False,3,6,2.348436117,0.847256899,0.401146889,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
196,479,s,True,141,56,True,97,False,44,False,53,False,3,6,1.851145983,0.350440025,0.401463032,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
197,103,s,True,142,56,True,98,False,44,False,53,False,3,6,2.052479982,0.551318169,0.300948143,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
198,342,s,True,143,56,True,99,False,44,False,53,False,3,6,2.348695993,0.847553015,0.701747894,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
199,373,n,False,143,57,False,99,False,44,False,53,True,4,3,3.25127387,1.750117064,1.904459,Verde,NA,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0
200,339,s,True,144,57,True,100,False,44,False,53,False,4,6,2.749948025,1.249523163,0.401180983,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
201,585,n,True,145,57,False,100,True,45,False,53,False,4,1,2.849904776,1.349313974,1.203186989,Verde,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
202,8,s,True,146,57,True,101,False,45,False,53,False,4,6,2.553787947,1.052617073,1.002811909,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
204,385,n,False,147,58,False,101,False,46,False,53,True,5,1,3.754307032,2.254023075,0.501512051,Naranja,NA,muchos,senal,3 BS,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
205,450,s,True,148,58,True,102,False,46,False,53,False,5,6,2.352784157,0.851738214,0.401214838,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
206,354,s,True,149,58,True,103,False,46,False,53,False,5,6,2.753593206,1.252747059,0.501353979,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
207,74,s,True,150,58,True,104,False,46,False,53,False,5,6,2.147691011,0.646579027,0.401101112,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
208,485,s,False,150,59,False,104,False,46,True,54,False,5,6,2.652347088,1.151299953,0.401149035,Naranja,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
209,401,s,True,151,59,True,105,False,46,False,54,False,5,6,2.449150801,0.947960138,0.50117898,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
210,483,s,False,151,60,False,105,False,46,True,55,False,5,6,3.054058075,1.553081036,0.601596117,Verde,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
211,513,s,False,151,61,False,105,False,46,True,56,False,5,6,2.452731848,0.952060938,0.401216984,Azul,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
212,116,s,True,152,61,True,106,False,46,False,56,False,5,6,2.05292511,0.55173707,0.401072979,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
213,112,s,True,153,61,True,107,False,46,False,56,False,5,6,2.750140905,1.248967171,0.401145935,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
215,129,s,True,155,61,True,108,False,47,False,56,False,5,6,3.557102203,2.056055069,0.601529837,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
216,528,n,True,156,61,False,108,True,48,False,56,False,5,1,2.951038837,1.449929953,0.602119207,Verde,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
218,387,s,True,158,61,True,109,False,49,False,56,False,5,6,1.951107025,0.450509071,0.501883984,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
219,445,s,True,159,61,True,110,False,49,False,56,False,5,6,2.051775217,0.55113101,0.401820898,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
220,229,s,False,159,62,False,110,False,49,True,57,False,5,6,2.05272603,0.55154109,0.401083946,Verde,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
221,417,s,True,160,62,True,111,False,49,False,57,False,5,6,2.954560995,1.453388929,0.401181221,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
222,431,s,True,161,62,True,112,False,49,False,57,False,5,6,1.947838068,0.446634054,0.401186943,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
224,372,s,True,163,62,True,113,False,50,False,57,False,5,6,2.149606943,0.648539066,0.501279116,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
225,143,s,True,164,62,True,114,False,50,False,57,False,5,6,1.852015018,0.350835085,0.401149035,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
226,231,s,False,164,63,False,114,False,50,True,58,False,5,6,2.653736115,1.152656078,0.4010849,Azul,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
227,34,s,True,165,63,True,115,False,50,False,58,False,5,6,2.353858948,0.852661848,0.501816988,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
228,590,n,True,166,63,False,115,True,51,False,58,False,5,1,2.448692083,0.947576046,0.601655006,Azul,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
229,378,s,True,167,63,True,116,False,51,False,58,False,5,6,2.45275116,0.951901913,0.501479149,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
230,348,s,True,168,63,True,117,False,51,False,58,False,5,6,3.354379892,1.853900909,0.401157856,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
231,343,s,True,169,63,True,118,False,51,False,58,False,5,6,2.553318977,1.052293062,0.401045799,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
232,52,s,True,170,63,True,119,False,51,False,58,False,5,6,2.64992094,1.148748875,0.401190042,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
233,326,s,True,171,63,True,120,False,51,False,58,False,5,6,2.553776026,1.052700996,0.300821066,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
235,360,s,True,173,63,True,121,False,52,False,58,False,5,6,2.352660894,0.851873159,0.401139021,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
236,565,n,True,174,63,False,121,True,53,False,58,False,5,1,2.755650043,1.254414082,0.400942802,Naranja,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
237,415,s,True,175,63,True,122,False,53,False,58,False,5,6,2.051376104,0.550200939,0.40116787,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
239,184,n,True,177,63,False,122,True,55,False,58,False,5,2,3.852106094,2.350968122,0.501353979,Naranja,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
240,62,s,True,178,63,True,123,False,55,False,58,False,5,6,1.852058172,0.350962162,0.601652145,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
241,138,s,True,179,63,True,124,False,55,False,58,False,5,6,1.847072124,0.345899105,0.501331091,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
242,182,n,True,180,63,False,124,True,56,False,58,False,5,2,3.050416946,1.549301147,0.602026939,Purpura,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
243,50,s,True,181,63,True,125,False,56,False,58,False,5,6,2.749473095,1.248294115,0.401153088,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
244,376,s,True,182,63,True,126,False,56,False,58,False,5,6,2.849534035,1.348465919,0.501271009,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
245,595,s,False,182,64,False,126,False,56,True,59,False,5,6,2.549147129,1.048032999,0.401139975,Verde,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
246,338,s,True,183,64,True,127,False,56,False,59,False,5,6,2.148860931,0.647770882,0.401105881,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
247,448,s,True,184,64,True,128,False,56,False,59,False,5,6,2.252274036,0.751416922,0.401190042,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
248,108,s,True,185,64,True,129,False,56,False,59,False,5,6,1.646164179,0.144990921,0.30094409,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
249,429,s,True,186,64,True,130,False,56,False,59,False,5,6,2.248547792,0.747389793,0.401427984,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
250,258,n,True,187,64,False,130,True,57,False,59,False,5,1,2.855072021,1.353920937,0.601648092,Verde,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
253,30,s,True,190,64,True,131,False,59,False,59,False,5,6,2.354890108,0.853605032,0.601579905,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
254,137,s,True,191,64,True,132,False,59,False,59,False,5,6,2.151511908,0.650410891,0.902153969,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
255,426,s,True,192,64,True,133,False,59,False,59,False,5,6,1.947807074,0.447516918,0.501309156,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
256,38,s,True,193,64,True,134,False,59,False,59,False,5,6,2.053060055,0.551959991,0.501425028,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
257,37,s,True,194,64,True,135,False,59,False,59,False,5,6,2.754673004,1.25348115,0.602078915,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
258,549,n,True,195,64,False,135,True,60,False,59,False,5,1,2.352065086,0.851423025,0.501940966,Naranja,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
259,10,s,True,196,64,True,136,False,60,False,59,False,5,6,2.148536921,0.64742589,0.401185036,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
260,539,s,False,196,65,False,136,False,60,True,60,False,5,6,2.051653862,0.550783157,0.300888062,Azul,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
261,221,s,False,196,66,False,136,False,60,True,61,False,5,6,2.554002047,1.053164959,0.401574135,Azul,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
262,85,s,True,197,66,True,137,False,60,False,61,False,5,6,2.252197981,0.751764059,0.300927877,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
263,196,s,False,197,67,False,137,False,60,True,62,False,5,6,3.255326986,1.75416398,0.40113616,Azul,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
264,370,s,True,198,67,True,138,False,60,False,62,False,5,6,2.149410009,0.648344994,0.300717115,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
265,451,s,True,199,67,True,139,False,60,False,62,False,5,5,3.154456854,1.653548956,1.403495073,Verde,NA,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
266,462,s,True,200,67,True,140,False,60,False,62,False,5,6,2.749538898,1.248585939,0.601666927,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
267,489,s,False,200,68,False,140,False,60,True,63,False,5,6,2.449095011,0.947999954,0.702080011,Verde,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
268,203,s,False,200,69,False,140,False,60,True,64,False,5,6,2.250018835,0.748814821,0.501348972,Naranja,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
270,457,s,True,202,69,True,141,False,61,False,64,False,5,6,2.448682785,0.947609186,0.501268148,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
271,78,s,True,203,69,True,142,False,61,False,64,False,5,6,2.149760962,0.648645878,0.602030993,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
272,497,s,False,203,70,False,142,False,61,True,65,False,5,6,2.755046844,1.253887892,0.300855875,Azul,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
273,39,s,True,204,70,True,143,False,61,False,65,False,5,6,2.051977873,0.550776958,0.401146889,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
274,88,s,True,205,70,True,144,False,61,False,65,False,5,6,2.047420025,0.546241999,0.401221037,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
275,588,s,False,205,71,False,144,False,61,True,66,False,5,6,2.054294109,0.55311203,0.301079035,Naranja,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
276,433,s,True,206,71,True,145,False,61,False,66,False,5,6,2.153320074,0.652185917,0.400983095,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
277,243,s,False,206,72,False,145,False,61,True,67,False,5,6,2.25316596,0.752005816,0.301007032,Purpura,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
278,403,s,True,207,72,True,146,False,61,False,67,False,5,6,2.248862982,0.747701883,0.300942898,Azul,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
279,580,s,False,207,73,False,146,False,61,True,68,False,5,6,1.851250887,0.350393057,0.401492834,Purpura,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
280,99,s,True,208,73,True,147,False,61,False,68,False,5,6,1.751875877,0.250807047,0.401186943,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
281,25,s,True,209,73,True,148,False,61,False,68,False,5,6,2.25306201,0.751904011,0.401252985,Purpura,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
283,520,n,True,211,73,False,148,True,63,False,68,False,5,1,2.651933908,1.151349068,1.002439022,Azul,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
284,493,n,True,212,73,False,148,True,64,False,68,False,5,1,2.047286987,0.546180964,1.404016972,Purpura,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
285,166,n,True,213,73,False,148,True,65,False,68,False,5,1,2.454536915,0.953332901,1.303738832,Purpura,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
286,267,n,True,214,73,False,148,True,66,False,68,False,5,1,2.749850035,1.248728037,0.301205873,Naranja,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
287,500,s,False,214,74,False,148,False,66,True,69,False,5,6,1.947897911,0.446758986,0.401120186,Purpura,NA,muchos,ruido,2 BN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
288,61,s,True,215,74,True,149,False,66,False,69,False,5,6,2.052730083,0.552006006,1.103487015,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
289,21,s,True,216,74,True,150,False,66,False,69,False,5,6,3.150636911,1.650001049,0.5014112,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
290,597,n,True,217,74,False,150,True,67,False,69,False,5,1,2.950042963,1.448857069,0.501321077,Naranja,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
291,197,n,True,218,74,False,150,True,68,False,69,False,5,2,3.055308819,1.554121971,0.501283169,Verde,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
292,202,s,False,218,75,False,150,False,68,True,70,False,5,6,2.950968027,1.450206041,0.902202845,Azul,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
293,226,n,True,219,75,False,150,True,69,False,70,False,5,2,2.653985977,1.152780056,0.601469994,Verde,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
294,366,s,True,220,75,True,151,False,69,False,70,False,5,6,2.649487972,1.148355961,0.501199007,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
295,279,n,True,221,75,False,151,True,70,False,70,False,5,1,2.453944921,0.952779055,0.601564884,Azul,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
296,480,s,True,222,75,True,152,False,70,False,70,False,5,6,2.248286009,0.747108936,0.902095079,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
297,246,n,True,223,75,False,152,True,71,False,70,False,5,2,2.353332043,0.852251053,1.002760887,Purpura,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
298,525,n,True,224,75,False,152,True,72,False,70,False,5,1,2.850915194,1.349701166,0.802340031,Purpura,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
299,332,s,True,225,75,True,153,False,72,False,70,False,5,5,2.549398184,1.048160076,0.60158515,Purpura,NA,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
300,324,s,True,226,75,True,154,False,72,False,70,False,5,6,1.751529932,0.250586033,0.40124917,Naranja,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
303,447,s,True,229,75,True,155,False,74,False,70,False,5,5,3.154515028,1.653501034,0.301023006,Naranja,NA,muchos,senal,3 BS,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0
304,422,s,True,230,75,True,156,False,74,False,70,False,5,6,2.654228926,1.153123856,0.300853014,Verde,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
305,26,s,True,231,75,True,157,False,74,False,70,False,5,6,2.053139925,0.551966906,0.301028967,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
306,260,n,True,232,75,False,157,True,75,False,70,False,5,1,1.952434063,0.451303959,1.10242486,Azul,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
308,169,s,False,233,76,False,157,False,76,True,71,False,5,6,2.041425943,0.540317059,0.401435137,Purpura,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
309,60,s,True,234,76,True,158,False,76,False,71,False,5,6,1.952458143,0.451353073,0.300966978,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
310,380,s,True,235,76,True,159,False,76,False,71,False,5,6,1.751593828,0.250522852,0.40110302,Purpura,NA,muchos,senal,3 BS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
311,49,s,True,236,76,True,160,False,76,False,71,False,5,6,2.047600031,0.546469212,0.401059866,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
312,488,n,True,237,76,False,160,True,77,False,71,False,5,2,2.65279603,1.15256691,0.501245975,Azul,NA,muchos,ruido,2 BN,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
313,255,s,False,237,77,False,160,False,77,True,72,False,5,6,2.95360589,1.452522993,0.601536989,Verde,NA,pocos,ruido,1 AN,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
314,55,s,True,238,77,True,161,False,77,False,72,False,5,6,2.64922595,1.147842884,0.401278019,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
316,280,n,True,240,77,False,161,True,79,False,72,False,5,1,2.453417063,0.952209949,0.300894022,Naranja,NA,pocos,ruido,1 AN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
317,140,s,True,241,77,True,162,False,79,False,72,False,5,6,2.249285936,0.748140097,0.601629019,Verde,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
318,14,s,True,242,77,True,163,False,79,False,72,False,5,6,2.247996092,0.746798992,0.501513958,Naranja,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
319,125,s,True,243,77,True,164,False,79,False,72,False,5,6,2.855104923,1.35394907,0.300918102,Azul,NA,pocos,senal,4 AS,1,4,1,1,0,1,0,1,0,1,0,1,0,1,0
