Ensayo, Estimulo, Comparacion, Respuesta, Eleccion, Correcto, OpcionPredicha, Aciertos, Errores, RTime1, RTime2, SignallPosition, Hits, ContadorH, Rechazos, ContadorR, Falsas alarmas, ContadorF, Omisiones, ContadorM, 
97,105,4 BS-AN,left,BS,1,1,62,2,2.118644953,0.118427992,Left,1,62,1,62,0,2,0,2,
98,86,2 AS-BN,right,AS,1,1,63,2,2.131887913,0.130815029,Right,1,63,1,63,0,2,0,2,
99,50,3 BS-BN,right,BS,1,1,64,2,2.119103909,0.118906021,Right,1,64,1,64,0,2,0,2,
100,52,3 BS-BN,right,BS,1,1,65,2,2.132380962,0.131152868,Right,1,65,1,65,0,2,0,2,
101,11,1 AS-AN,left,AS,1,1,66,2,2.135715008,0.135541916,Left,1,66,1,66,0,2,0,2,
102,133,5 AS-BS,left,AS,NA,1,66,2,2.118649006,0.118407011,Both,NA,66,NA,66,NA,2,NA,2,
103,3,1 AS-AN,left,AS,1,1,67,2,2.135795116,0.134670019,Left,1,67,1,67,0,2,0,2,
104,172,6 AN-BN,left,BN,NA,1,67,2,2.118688107,0.118452072,None,NA,67,NA,67,NA,2,NA,2,
105,36,3 BS-BN,right,BS,1,1,68,2,2.131035089,0.129922867,Right,1,68,1,68,0,2,0,2,
106,111,4 BS-AN,left,BS,1,1,69,2,2.136172056,0.135979891,Left,1,69,1,69,0,2,0,2,
107,59,3 BS-BN,left,BS,1,1,70,2,2.920329094,0.920099974,Left,1,70,1,70,0,2,0,2,
108,16,1 AS-AN,right,AS,1,1,71,2,2.118532896,0.118345976,Right,1,71,1,71,0,2,0,2,
109,135,5 AS-BS,right,BS,NA,0,71,2,2.135289192,0.134307146,Both,NA,71,NA,71,NA,2,NA,2,
110,188,6 AN-BN,right,AN,NA,0,71,2,2.13579607,0.134665012,None,NA,71,NA,71,NA,2,NA,2,
111,39,3 BS-BN,left,BS,1,1,72,2,2.131574869,0.130475044,Left,1,72,1,72,0,2,0,2,
112,182,6 AN-BN,left,BN,NA,1,72,2,2.118532896,0.118379116,None,NA,72,NA,72,NA,2,NA,2,
113,180,6 AN-BN,right,AN,NA,0,72,2,2.135353088,0.134368896,None,NA,72,NA,72,NA,2,NA,2,
114,77,2 AS-BN,left,AS,1,1,73,2,2.118916988,0.118757963,Left,1,73,1,73,0,2,0,2,
115,139,5 AS-BS,right,BS,NA,0,73,2,2.135635853,0.135443926,Both,NA,73,NA,73,NA,2,NA,2,
116,166,6 AN-BN,left,BN,NA,1,73,2,2.118604898,0.118362188,None,NA,73,NA,73,NA,2,NA,2,
117,58,3 BS-BN,right,BS,1,1,74,2,2.135324001,0.134283066,Right,1,74,1,74,0,2,0,2,
118,34,3 BS-BN,right,BS,1,1,75,2,2.119332075,0.118942976,Right,1,75,1,75,0,2,0,2,
119,142,5 AS-BS,right,AS,NA,1,75,2,2.135235071,0.134135962,Both,NA,75,NA,75,NA,2,NA,2,
120,109,4 BS-AN,right,AN,0,0,75,3,2.135571957,0.135246038,Left,0,75,0,75,1,3,1,3,
121,174,6 AN-BN,right,AN,NA,0,75,3,2.118546009,0.118412971,None,NA,75,NA,75,NA,3,NA,3,
122,181,6 AN-BN,left,AN,NA,0,75,3,2.132179022,0.130993843,None,NA,75,NA,75,NA,3,NA,3,
123,134,5 AS-BS,right,AS,NA,0,75,3,2.130951166,0.129737139,Both,NA,75,NA,75,NA,3,NA,3,
124,93,2 AS-BN,left,AS,1,1,76,3,2.118619919,0.118403912,Left,1,76,1,76,0,3,0,3,
125,84,2 AS-BN,right,AS,1,1,77,3,2.131757021,0.130652905,Right,1,77,1,77,0,3,0,3,
126,9,1 AS-AN,left,AS,1,1,78,3,2.133764029,0.132655859,Left,1,78,1,78,0,3,0,3,
127,14,1 AS-AN,right,AS,1,1,79,3,2.118616104,0.118355036,Right,1,79,1,79,0,3,0,3,
128,102,4 BS-AN,right,BS,1,1,80,3,2.135695934,0.135478973,Right,1,80,1,80,0,3,0,3,
129,183,6 AN-BN,left,AN,NA,0,80,3,2.118490934,0.118304968,None,NA,80,NA,80,NA,3,NA,3,
130,112,4 BS-AN,right,BS,1,1,81,3,2.135740995,0.135446072,Right,1,81,1,81,0,3,0,3,
131,8,1 AS-AN,right,AS,1,1,82,3,2.134891987,0.133991957,Right,1,82,1,82,0,3,0,3,
132,143,5 AS-BS,left,AS,NA,1,82,3,2.13560915,0.135416985,Both,NA,82,NA,82,NA,3,NA,3,
133,156,5 AS-BS,right,AS,NA,1,82,3,2.118515968,0.118218899,Both,NA,82,NA,82,NA,3,NA,3,
134,162,6 AN-BN,left,BN,NA,1,82,3,2.135203123,0.135055065,None,NA,82,NA,82,NA,3,NA,3,
135,55,3 BS-BN,left,BS,1,1,83,3,2.118598938,0.118268013,Left,1,83,1,83,0,3,0,3,
136,29,1 AS-AN,left,AS,1,1,84,3,2.135674,0.135366917,Left,1,84,1,84,0,3,0,3,
137,85,2 AS-BN,left,AS,1,1,85,3,2.118504047,0.118265867,Left,1,85,1,85,0,3,0,3,
138,170,6 AN-BN,left,BN,NA,1,85,3,2.135584831,0.135411978,None,NA,85,NA,85,NA,3,NA,3,
139,167,6 AN-BN,right,BN,NA,1,85,3,2.134804964,0.13451004,None,NA,85,NA,85,NA,3,NA,3,
140,163,6 AN-BN,left,AN,NA,0,85,3,2.135641098,0.135424137,None,NA,85,NA,85,NA,3,NA,3,
141,127,4 BS-AN,left,BS,1,1,86,3,2.118513107,0.118214846,Left,1,86,1,86,0,3,0,3,
142,13,1 AS-AN,left,AS,1,1,87,3,2.135608912,0.135267973,Left,1,87,1,87,0,3,0,3,
143,47,3 BS-BN,left,BS,1,1,88,3,2.134895086,0.133816957,Left,1,88,1,88,0,3,0,3,
144,75,2 AS-BN,left,AS,1,1,89,3,2.135223866,0.134356976,Left,1,89,1,89,0,3,0,3,
145,177,6 AN-BN,right,BN,NA,1,89,3,2.131170034,0.130044937,None,NA,89,NA,89,NA,3,NA,3,
146,176,6 AN-BN,left,BN,NA,1,89,3,2.118597984,0.118449926,None,NA,89,NA,89,NA,3,NA,3,
147,73,2 AS-BN,left,AS,1,1,90,3,2.134989977,0.134085178,Left,1,90,1,90,0,3,0,3,
148,161,6 AN-BN,left,AN,NA,0,90,3,2.135577202,0.135308027,None,NA,90,NA,90,NA,3,NA,3,
149,98,4 BS-AN,right,BS,1,1,91,3,2.118579865,0.118319988,Right,1,91,1,91,0,3,0,3,
150,126,4 BS-AN,right,BS,1,1,92,3,2.135555029,0.135380983,Right,1,92,1,92,0,3,0,3,
151,140,5 AS-BS,right,AS,NA,1,92,3,2.118578196,0.11837101,Both,NA,92,NA,92,NA,3,NA,3,
152,123,4 BS-AN,left,BS,1,1,93,3,2.13527894,0.134243965,Left,1,93,1,93,0,3,0,3,
153,121,4 BS-AN,left,BS,1,1,94,3,2.118961096,0.118802071,Left,1,94,1,94,0,3,0,3,
154,62,3 BS-BN,right,BS,1,1,95,3,2.135370016,0.134285927,Right,1,95,1,95,0,3,0,3,
155,42,3 BS-BN,right,BS,1,1,96,3,2.419368029,0.419090986,Right,1,96,1,96,0,3,0,3,
156,27,1 AS-AN,left,AS,1,1,97,3,2.73663497,0.735512018,Left,1,97,1,97,0,3,0,3,
157,122,4 BS-AN,right,BS,1,1,98,3,2.135060072,0.133985996,Right,1,98,1,98,0,3,0,3,
158,61,3 BS-BN,left,BS,1,1,99,3,2.135368109,0.134206057,Left,1,99,1,99,0,3,0,3,
159,74,2 AS-BN,right,AS,1,1,100,3,2.118625879,0.118322849,Right,1,100,1,100,0,3,0,3,
160,136,5 AS-BS,right,AS,NA,1,100,3,2.133654118,0.132482052,Both,NA,100,NA,100,NA,3,NA,3,
161,124,4 BS-AN,right,BS,1,1,101,3,2.118433952,0.118119955,Right,1,101,1,101,0,3,0,3,
162,44,3 BS-BN,right,BS,1,1,102,3,2.132915974,0.131848097,Right,1,102,1,102,0,3,0,3,
163,70,2 AS-BN,right,AS,1,1,103,3,2.135221958,0.134136915,Right,1,103,1,103,0,3,0,3,
164,40,3 BS-BN,right,BS,1,1,104,3,2.133482933,0.132891178,Right,1,104,1,104,0,3,0,3,
165,38,3 BS-BN,right,BS,1,1,105,3,2.118380785,0.118179083,Right,1,105,1,105,0,3,0,3,
166,155,5 AS-BS,right,BS,NA,0,105,3,2.135308981,0.134294987,Both,NA,105,NA,105,NA,3,NA,3,
167,66,2 AS-BN,left,BN,0,0,105,4,2.118761063,0.118463993,Right,0,105,0,105,1,4,1,4,
168,138,5 AS-BS,left,BS,NA,0,105,4,2.135265112,0.134217024,Both,NA,105,NA,105,NA,4,NA,4,
169,92,2 AS-BN,right,AS,1,1,106,4,2.118669033,0.118400812,Right,1,106,1,106,0,4,0,4,
170,120,4 BS-AN,right,BS,1,1,107,4,2.135693073,0.13546896,Right,1,107,1,107,0,4,0,4,
171,107,4 BS-AN,left,BS,1,1,108,4,2.119035006,0.118871927,Left,1,108,1,108,0,4,0,4,
172,7,1 AS-AN,left,AS,1,1,109,4,2.130566835,0.129409075,Left,1,109,1,109,0,4,0,4,
173,178,6 AN-BN,left,BN,NA,1,109,4,2.118579149,0.118446112,None,NA,109,NA,109,NA,4,NA,4,
174,45,3 BS-BN,left,BS,1,1,110,4,2.135641098,0.1352911,Left,1,110,1,110,0,4,0,4,
175,88,2 AS-BN,right,AS,1,1,111,4,2.118922949,0.118730068,Right,1,111,1,111,0,4,0,4,
176,179,6 AN-BN,right,BN,NA,1,111,4,2.135579109,0.135445118,None,NA,111,NA,111,NA,4,NA,4,
177,100,4 BS-AN,right,BS,1,1,112,4,2.11865592,0.118469,Right,1,112,1,112,0,4,0,4,
178,87,2 AS-BN,left,AS,1,1,113,4,2.134949923,0.133918047,Left,1,113,1,113,0,4,0,4,
179,43,3 BS-BN,right,BN,0,0,113,5,2.136035919,0.135831833,Left,0,113,0,113,1,5,1,5,
180,67,2 AS-BN,left,AS,1,1,114,5,2.118564129,0.118308067,Left,1,114,1,114,0,5,0,5,
181,56,3 BS-BN,right,BS,1,1,115,5,2.131772995,0.130697966,Right,1,115,1,115,0,5,0,5,
182,91,2 AS-BN,left,AS,1,1,116,5,2.135252953,0.134830952,Left,1,116,1,116,0,5,0,5,
183,117,4 BS-AN,left,BS,1,1,117,5,2.135801077,0.135505915,Left,1,117,1,117,0,5,0,5,
184,114,4 BS-AN,right,BS,1,1,118,5,2.135437965,0.134407997,Right,1,118,1,118,0,5,0,5,
185,130,5 AS-BS,right,AS,NA,1,118,5,2.118633032,0.118446112,Both,NA,118,NA,118,NA,5,NA,5,
